D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_40_077.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_40_077.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_40_077.jpg,0,0,0,1.430542E-05
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_40_194.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_40_194.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_40_194.jpg,0,0,0,2.059271E-05
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_40_313.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_40_313.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_40_313.jpg,0,0,0,1.331016E-05
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_40_426.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_40_426.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_40_426.jpg,0,0,0,3.937859E-06
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_40_544.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_40_544.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_40_544.jpg,0,0,0,1.563994E-05
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_40_685.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_40_685.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_40_685.jpg,0,0,0,3.35966E-07
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_40_793.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_40_793.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_40_793.jpg,0,0,0,2.693659E-07
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_40_920.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_40_920.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_40_920.jpg,0,0,0,2.514595E-05
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_41_037.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_41_037.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_41_037.jpg,0,0,0,3.770846E-06
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_41_153.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_41_153.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_41_153.jpg,0,0,0,2.391617E-05
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_41_268.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_41_268.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_41_268.jpg,0,0,0,8.220133E-06
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_41_386.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_41_386.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_41_386.jpg,0,0,0,2.372051E-05
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_41_505.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_41_505.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_41_505.jpg,0,0,0,1.649997E-05
D:\SOFT COMPUTING PROJECT\IMG\center_2024_12_21_09_24_41_621.jpg,D:\SOFT COMPUTING PROJECT\IMG\left_2024_12_21_09_24_41_621.jpg,D:\SOFT COMPUTING PROJECT\IMG\right_2024_12_21_09_24_41_621.jpg,0,0,0,1.447314E-05
